in s,Math in V
-4.824000E-04,4.29651E-02
-4.823500E-04,3.40660E-03
-4.823000E-04,-4.15178E-02
-4.822500E-04,1.07390E-02
-4.822000E-04,5.36970E-02
-4.821500E-04,2.58764E-02
-4.821000E-04,-1.85602E-02
-4.820500E-04,-2.39261E-02
-4.820000E-04,3.31936E-02
-4.819500E-04,5.46726E-02
-4.819000E-04,9.67540E-04
-4.818500E-04,-2.68682E-02
-4.818000E-04,6.33347E-03
-4.817500E-04,4.44285E-02
-4.817000E-04,3.17302E-02
-4.816500E-04,-1.85602E-02
-4.816000E-04,-1.22186E-02
-4.815500E-04,2.73399E-02
-4.815000E-04,3.85595E-02
-4.814500E-04,2.43098E-03
-4.814000E-04,-1.61211E-02
-4.813500E-04,1.65928E-02
-4.813000E-04,3.46570E-02
-4.812500E-04,8.78777E-03
-4.812000E-04,-1.56333E-02
-4.811500E-04,4.87003E-03
-4.811000E-04,3.61205E-02
-4.810500E-04,2.14709E-02
-4.810000E-04,-1.70967E-02
-4.809500E-04,-9.77957E-03
-4.809000E-04,2.68521E-02
-4.808500E-04,3.56327E-02
-4.808000E-04,-3.42277E-03
-4.807500E-04,-2.83317E-02
-4.807000E-04,1.51293E-02
-4.806500E-04,4.63798E-02
-4.806000E-04,1.80562E-02
-4.805500E-04,-2.58926E-02
-4.805000E-04,-1.12430E-02
-4.804500E-04,3.61205E-02
-4.804000E-04,4.93066E-02
-4.803500E-04,-1.02674E-02
-4.803000E-04,-3.46732E-02
-4.802500E-04,1.41537E-02
-4.802000E-04,5.36970E-02
-4.801500E-04,2.44130E-02
-4.801000E-04,-2.73560E-02
-4.800500E-04,-1.95358E-02
-4.800000E-04,3.46570E-02
-4.799500E-04,4.34529E-02
-4.799000E-04,1.94316E-03
-4.798500E-04,-3.36976E-02
-4.798000E-04,7.81215E-03
-4.797500E-04,4.88188E-02
-4.797000E-04,2.29343E-02
-4.796500E-04,-1.51455E-02
-4.796000E-04,-1.07552E-02
-4.795500E-04,3.12424E-02
-4.795000E-04,3.75839E-02
-4.794500E-04,-1.07552E-02
-4.794000E-04,-1.07552E-02
-4.793500E-04,1.95196E-02
-4.793000E-04,3.51449E-02
-4.792500E-04,1.46415E-02
-4.792000E-04,-2.14871E-02
-4.791500E-04,8.29996E-03
-4.791000E-04,3.70961E-02
-4.790500E-04,8.29996E-03
-4.790000E-04,-7.81307E-03
-4.789500E-04,-1.56333E-02
-4.789000E-04,3.46570E-02
-4.788500E-04,4.68676E-02
-4.788000E-04,-1.85602E-02
-4.787500E-04,-2.19749E-02
-4.787000E-04,1.12268E-02
-4.786500E-04,4.68676E-02
-4.786000E-04,2.49008E-02
-4.785500E-04,-3.95513E-02
-4.785000E-04,-6.83745E-03
-4.784500E-04,4.39407E-02
-4.784000E-04,4.29651E-02
-4.783500E-04,-5.86183E-03
-4.783000E-04,-3.71123E-02
-4.782500E-04,2.09831E-02
-4.782000E-04,5.56634E-02
-4.781500E-04,1.90318E-02
-4.781000E-04,-2.54048E-02
-4.780500E-04,-1.80724E-02
-4.780000E-04,4.73554E-02
-4.779500E-04,4.49163E-02
-4.779000E-04,-1.36821E-02
-4.778500E-04,-3.02829E-02
-4.778000E-04,1.41537E-02
-4.777500E-04,4.73554E-02
-4.777000E-04,1.70806E-02
-4.776500E-04,-2.19749E-02
-4.776000E-04,2.43098E-03
-4.775500E-04,2.83155E-02
-4.775000E-04,3.56327E-02
-4.774500E-04,-8.80394E-03
-4.774000E-04,-1.27064E-02
-4.773500E-04,2.49008E-02
-4.773000E-04,3.17302E-02
-4.772500E-04,9.67540E-04
-4.772000E-04,-1.56333E-02
-4.771500E-04,9.27559E-03
-4.771000E-04,4.49163E-02
-4.770500E-04,1.12268E-02
-4.770000E-04,-2.00236E-02
-4.769500E-04,-3.91058E-03
-4.769000E-04,3.85595E-02
-4.768500E-04,3.75839E-02
-4.768000E-04,-4.39839E-03
-4.767500E-04,-2.29505E-02
-4.767000E-04,2.39252E-02
-4.766500E-04,5.02823E-02
-4.766000E-04,1.65928E-02
-4.765500E-04,-3.12585E-02
-4.765000E-04,-7.32526E-03
-4.764500E-04,4.58920E-02
-4.764000E-04,3.95504E-02
-4.763500E-04,-1.70967E-02
-4.763000E-04,-3.17463E-02
-4.762500E-04,2.00074E-02
-4.762000E-04,5.90781E-02
-4.761500E-04,1.61050E-02
-4.761000E-04,-3.02829E-02
-4.760500E-04,-1.31942E-02
-4.760000E-04,4.15017E-02
-4.759500E-04,4.54042E-02
-4.759000E-04,-2.44714E-03
-4.758500E-04,-2.09992E-02
-4.758000E-04,1.95196E-02
-4.757500E-04,4.44285E-02
-4.757000E-04,9.76340E-03
-4.756500E-04,-2.05114E-02
-4.756000E-04,-6.34964E-03
-4.755500E-04,3.61205E-02
-4.755000E-04,2.97789E-02
-4.754500E-04,-8.30089E-03
-4.754000E-04,-3.42277E-03
-4.753500E-04,2.44130E-02
-4.753000E-04,3.27058E-02
-4.752500E-04,4.79728E-04
-4.752000E-04,-1.95358E-02
-4.751500E-04,2.14709E-02
-4.751000E-04,4.05260E-02
-4.750500E-04,1.07390E-02
-4.750000E-04,-2.44292E-02
-4.749500E-04,-1.47152E-03
-4.749000E-04,4.29651E-02
-4.748500E-04,2.97789E-02
-4.748000E-04,-2.63804E-02
-4.747500E-04,-1.66089E-02
-4.747000E-04,2.29343E-02
-4.746500E-04,5.85903E-02
-4.746000E-04,6.82128E-03
-4.745500E-04,-3.12585E-02
-4.745000E-04,3.40660E-03
-4.744500E-04,4.10138E-02
-4.744000E-04,4.39407E-02
-4.743500E-04,-1.70967E-02
-4.743000E-04,-2.58926E-02
-4.742500E-04,2.63642E-02
-4.742000E-04,4.78432E-02
-4.741500E-04,1.51293E-02
-4.741000E-04,-2.63804E-02
-4.740500E-04,-8.30089E-03
-4.740000E-04,5.41848E-02
-4.739500E-04,2.73399E-02
-4.739000E-04,-1.12430E-02
-4.738500E-04,-1.61211E-02
-4.738000E-04,1.02512E-02
-4.737500E-04,5.12579E-02
-4.737000E-04,6.82128E-03
